SENTENCE	support_academic	support_moral	support_tech	support_data	support_library	support_finance	support_religious	support_unknown	sentiment_very_pos	sentiment_some_pos	sentiment_neutral
You guys are awesome.	0	0	0	0	0	0	0	1	0	1	0
Particular debt is owed to her beloved husband, Loesak Nandhivajrin and her two adorable sons, Luck and Lode Nandhivajrin, whose love and understanding ____________________ vii I	0	1	0	0	0	0	0	0	0	1	0
I would like to thank my committee members for their guidance and support throughout the proposal and dissertation process.	1	0	0	0	0	0	0	0	0	1	0
I especially take pleasure in expressing appreciation to the following: To Dr. John M. Goudeau, major professor and chairman, of; my doctoral committee, who was,generous with guidance and encouragement;	1	0	0	0	0	0	0	0	1	0	0
The financial support provided ^by the; Department of romputing science is gratefully acknowledged.	0	0	0	0	0	1	0	0	0	1	0
It did not, however, leave me wanting of support.	0	0	0	0	0	0	0	1	0	0	1
Professor Clyaton A. Shepherd served as a very close adviser during my entire doctoral program, also.	1	0	0	0	0	0	0	0	0	1	0
To my family, I say thank you for your encouragement and patience.	0	1	0	0	0	0	0	0	0	1	0
Finally, thank you to my friend and sometimes proxy-advisor Dr. Heather Moorefield-Lang.	1	0	0	0	0	0	0	0	0	1	0
In completing the data gathering phase, the help of several colleagues was instrumental.	0	0	0	1	0	0	0	0	0	0	1
I am so grateful to both of you.	0	0	0	0	0	0	0	1	0	1	0
For my Mom, Litaifah, and my Dad, Omar.	0	1	0	0	0	0	0	0	0	0	1
MissSarahRebeccaReedtook over chairmanship of the research committee when Dr. Lowell's failing health wouldnotallowhertocontinue.	1	0	0	0	0	0	0	0	0	0	1
I deeply appreciate all the time and thought you've dedicated to me and my work.	0	0	0	0	0	0	0	1	0	1	0
Professor Donald W. Krummel, my major adviser, has guided this study with wise counsel and infinite patience.	1	0	0	0	0	0	0	0	1	0	0
Dr. Rachel McLaren, thank you for your guidance throughout the dissertation process.	1	0	0	0	0	0	0	0	0	1	0
My heartfelt gratitude to Dr. Rebecca Pasco for not only starting me on this doctoral journey, but on my road as a school librarian.	1	0	0	0	0	0	0	0	1	0	0
1truly appreciate the doctoral fellowship from the IMLS-funded Building the Future o f Archival Education and Research Initiative and the financial support provided by the School o f Library and Information Science at Simmons College.	0	0	0	0	0	1	0	0	0	1	0
I am also deeply grateful to my dissertation committee members, Eileen Abels, Kathryn La Barre, Katherine McCain, and Jung-ran Park, for their insight and guidance.	1	0	0	0	0	0	0	0	0	1	0
Melanie, thank you for all of your support.	0	1	0	0	0	0	0	0	0	0	1
I couldn't have asked for a better way to extend my understanding of ideas that will stick with me for years to come.	0	0	0	0	0	0	0	1	0	1	0
The writer expresses deep gratitude to Dean Dr. Conrad H. Rawski, who served as the major advisor, for his kind encouragement, guidance, and for his constructive suggestions.	1	0	0	0	0	0	0	0	0	1	0
I would like to thank the members of my thesis committee, Dr. Kelly Kolar and Dr. Susan Myers-Shirk for their extensive help on this project.	1	0	0	0	0	0	0	0	0	1	0
To my father, my role model, retired Major General Naser A. Albannai, this degree is dedicated to you.	0	1	0	0	0	0	0	0	0	0	1
Thank you for always loving and accepting me as I am.	0	0	0	0	0	0	0	1	0	1	0
I have had experiences and opportunities that I never dreamed were possible.	0	0	0	0	0	0	0	1	0	0	1
Professor Bonn was major advisor until after the presentation of the doctoral research proposal, and Professor Henderson was second reader of the research report.	1	0	0	0	0	0	0	0	0	0	1
I would like to thank Dennis Dawson for being a supportive writing partner and sounding board.	0	1	0	0	0	0	0	0	0	1	0
Sincere thanks to Ms. Barbara Burda of Burda's Ultratype, for her technical assistance in formating and typing the final manuscript.	0	0	1	0	0	0	0	0	0	1	0
I wish to thank the members of my dissertation committee--Professor Clayton A. Shepherd, Chairman, Dr. Charles Busha, Dr. Delbert Miller and Dean Sarah Reed--for the guidance and encouragement they gave me while I was planning and writing this dissertation.	1	0	0	0	0	0	0	0	0	1	0
Each of you offered diverse and extremely important viewpoints, but were also all-around collegial and warm individuals to work with; I admire and appreciate you all.	0	0	0	0	0	0	0	1	0	1	0
To another Bill, Dr. BT Meyer, thanks for your inspiration as the supportive rock that you are for our family.	0	1	0	0	0	0	0	0	0	1	0
You taught me what it means to be a real librarian.	1	0	0	0	0	0	0	0	0	1	0
With your support, I am able to further share this important narrative and research.	1	0	0	0	0	0	0	0	0	1	0
I also thank all the faculty members of my graduate thesis committee, namely Dr. Ken S Li, Dr. Ghassan Alkadi, and Dr. Kuo-Pao Yang, for the invaluable aid and direction provided by them.	1	0	0	0	0	0	0	0	0	1	0
I was initially encouraged to consider undertaking a PhD by several colleagues at the University of Manchester, notably Stephen Milner, Serena Professor of Italian, and my library colleagues Rachel Beckett, Dr Dorothy Clayton, Elizabeth Gow, Stella Halkyard, Ed Potten, and Jan Wilkinson, University Librarian and Director of the John Rylands Library.	0	1	0	0	0	0	0	0	0	0	1
A special note of thanks is due Betty Brown for helping with SPSS; to Judy Kayser for typing the final manuscript; to Robert Schinneer for illustrations; finally, to Jean James and Dean DeBolt for proofreading.	0	0	1	0	0	0	0	0	0	0	1
Dr. Gigi Taylor, thank you for providing expertise on second-language writing, an area about which I knew little two years ago.	1	0	0	0	0	0	0	0	0	1	0
Special acknowledgement is due to the following: To Dr. Marve H. Lavin, thesis supervisor, for his assistance and guidance during this writer's graduate studies and completion of this dissertation.	1	0	0	0	0	0	0	0	0	1	0
Writing the thesis has been one of the greatest endeavors of my life and I could not have succeeded without the following people.	0	0	0	0	0	0	0	1	0	1	0
My acknowledgements begin with a sincere thank you to both my supervisors, Professors W.H. Fleming and K.A. Redish for suggestions, reference material and scholarly pedagogy over a number of years acquaintance.	1	0	0	0	0	0	0	0	0	1	0
