year	sentence
1927	Thanks are due to Dr* W. S. Pord, Assistant Professor of Education, University of Southern California, for suggesting the subject and also for his cooperation in making the study and for criticising the writing of the report.
1927	Mr.V.
1927	C. Kersey, Assistant Superintendent of Schools, Los Angeles, California, cooperated in securing the data by a letter of introduction to all the summer school principals in Los Angeles.
1927	School principals have been very kind to allow inspec­ tion of the libraries under their control and to give such information, as they could when asked to do so.
1927	Records of attendance, enrollment, etc were willingly supplied.
1927	Librarians have been willing and interested in every instance to give all assistance possible.
1927	Miss Mary Ramona Bean, Publicity Director of the,Pacific Coast, of the Library Bureau, gave much helpful information, blus prints, pictures of libraries, copies of letters concern­ ing libraries and copies of extracts, from magazines concern­ ing libraries.
1929	This study vaa conducted under the supervision of Or.
1929	Douglas Naples as part of a more extensive in­ vestigation of adult reading interests in which he is engaged* Dr* Ralph Tyler acted as adviser in regard to the statistical treatment of the data, and a clerical staff assisted in the routine work.
1929	ii
1930	We would wish to express our gratitude to the many librarians with whom we have con­ ferred, either in person or by letter, for their splendid co-operation and free contri­ butions from their own experiences; to the Long Beach Teachers library staff for their generous help in assembling reference materials to the many teachers who have given time and thought to library problems; to Dr. O.K.Hull for his willingness to sponsor this rather unusual type of thesis; and last but not least, to the home partner whose encouragement and un­ selfishness has made possible the past year of study.
1930	The writer wishes to express her indebtedness to Professor Douglas Waples, faculty adviser in the study; also to Dean W. S. Gray for valuable suggestions at the outset of the study.
1930	The writer is also under obligation to Dr A. R. Brubacher for permission to make the study at the Mew York State College for Teachers at Albany, and to the students and staff of that institution for their cooperation in furnishing the desired data; also to Dr J. I. Wyer for per­ mission to use the records of the Mew York State Library, and to Miss Elizabeth M. Smith for use of the records of the Albany Public Library.
1933	For practical suggestions relating to public school libraries thanks are due Miss Faith Smith,^Head of Los ~ Angeles Library School., Miss Rosemary^Livs,ay of the Chil— / dren's Department of Los Angeles Public Library, Miss Winifred Skinner, Librarian of Pasadena Junior College, Miss Fae Tunnison of Long Beach Junior College,rMarjorie Van Deusen, Belmont High School, and Helen Floyd Estill of Fairfax High School.
1933	Dr. Martin J* Stormzand of Occi­ dental contributed valuable suggestions in the initial phases of this study.
1933	Professor Wheeler of the English Department of Wheaton has been kind enough to correct the manuscript .- For accurate and painstaking aid in the clerical ^df field Mary Lou Jordan McDonald, ‘Florence Larson, 'Alta Ruth, Dorothy Howe,^Bertha.
1933	MacDonald, touise Crockett., ^Alice Warren, and^Marianne St. John are due unstinted praise.
1933	To this number should be added the names of Miss Johanna Voget, Miss Jean Hammond, Miss Esther Meeker and Mr. Howard Tucker who aided in completing the revision.
1933	To the officers in the various State Departments, and to all of those who made this study possible by their cooperation, the author is sincerely grateful.
1935	The work ms dons in the Cary Public Library with tho aid and suggestions of Willie® J. Hamilton, head librarian, to whoa I give my sincere thanks*
1937	Grateful appreciation >is fe lt for.
1937	the kind assistance and friendly criticism rendered by Doctors j,* Paul.Leonard, C. II.
1937	Stone, and L, V. Howard* They hat© been most- helpfxil \ V :r{*/A throughout th is work• Others who have rendered aid are Lola F* Shortess, State Supervisor of School Libraries of the State of Louisiana, Roy L. Garrett, Director of Reports and Statistics of the State of South Carolina, X* C. Williams, Director of Research of the .State of Iowa, P* E.‘Bowers, Supervisor in Secondary Education in the State of Nebraska, Katherine H* Weed, Secretary of the Connecticut Public Library Committee!, C. W. Dickinson, Jr., Director of School •Libraries and Textbooks of the State of Yirgiuia, Charles B# Limp, Director of Statistics and Research of the State of Wisconsin., and Bessie C* Stem, Statistician 4f the; Bureau of Educational, Measurements of the State of Maryland.
1937	Grateful thanks-af© extended to these' persons;'Who have been so helpful in "this' work*
1939	The author wishes to express his appreciation to the many state officers of education, school superintendents, and librarians who contributed helpful data for this study.
1939	Special appreciation is extended to the author's sponsoring committee* Dr. Alonzo F. Myers, Dr. Albert B. Meredith, and Dr. Dorothy I. Mulgrave.
1941	The author wishes to express her appreciation of the generous assistance in time and advice received from Professor Douglas Waples and the other members of the faculty of the Graduate Library School.
1942	Tiie writer wishes to express here his indebtedness to: Bess R. Yates, Librarian of the Glendale Public Library; Doris Hoit, Librarian of the Pasadena Public Library; Theodora Brewitt, Librarian of the Long Beach Public Library; Katherine M. Whelan, Librarian of the Santa Monica Public Library; Eugene 0.
1942	McKnight, Librarian of the Alhambra Public Library; and to Miner B. Phillipps, City Contoller of the City of Pasadena— for their time and consideration in providing him with the information relative to their respective libraries, and the sample financial forms con­ tained herein.
1943	The writer wishes to express her thanks to all those who offered advice and eaeourageiuent throughout the work on this study, end especially to Dr. Leon Cernovsky, under whose direction this study was made.
1944	The writer wishes to express his great gratitude to Dr. Maurice F. Tauber of the Graduate Library School, under whose direction the study was carried out.
1944	Thanks are also due to Professor Carleton B. Joeckel, Professor Leon Caraovsky, and Miss Dorothy Charles, of the Graduate Library School facility for theirhelpfuladvice.
1944	Tothemanylibrarianswhosuppliedin­ formation needed in the investigation, especially Mr. Lawrence Heyl, of Princeton University, Mr. Lowell Martin, of the Univer­ sity of Chicago, Dr. LaRoy C. Merritt, of the'State Teachers College, Farmvllle, Virginia, Dr. Joseph L. Wheeler, of the Enoch Pratt Free Library, and Mr. Wyllls E. Wright, of the New York Public Library, the author acknowledges his Indebtedness.
1944	Reproduced with permission of the copyright owner.
1944	Further reproduction prohibited without permission.
1944	The author wishes to acknowledge the helpful guidance received from Frances E. Henne.
1944	Reproduced with permission of the copyright owner.
1944	Further reproduction prohibited without permission.
1945	The v/rlter wishes to express her sincere appreciation to Dr. Leon Carnovsky for his guidance and assistance throughout the preparation of this study.
1946	For advice and guidance in the preparation of this study, I am especially indebted to Professor Pierce Butler of the Gradu­ ate Library School of the University of Chicago.
1946	Ralph A. Beals, Carlton B. Joeckel, and Louis R. Wilson, former deans of the Gradu­ ate Library School, gave helpful criticism at various stages of the investigation, and I wish also to acknowledge that assistance.
1946	The librarians and their associates of the eight institu­ tions included in this study were most helpful and generous in making available the entire resources of their collections and in suggesting local historical materials relevant to the subject.
1946	The staff of the South Caroliniana Library, the Newberry Library, and the libraries of the University of Chicago and Missouri, like­ wise made important contributions.
1946	For all of these courtesies I am grateful.
1946	Finally, I wish to acknowledge assistance received from Betsy Graves Powell' and Shirley Stevens in the preparation of the manuscript.
1946	The writer wishes to express gratitude to Miss Frances Henne and to Dr. Leon Camovsky for advice and criticism during the preparation of this study, and to acknowledge her indebtedness to the editors and publishers of the Negro magazines for their cooperation.
1948	The writer wishes to express his appreciation to the members of the New England Deposit Library and especially to Dennis A. Dooley, president.
1948	New England Deposit Library and librarian, Massachusetts State Library; Keyes D. Metcalf, vice president.
1948	New England Deposit Library and director.
1948	Harvard University Library; and Andrew D. Osburn, assistant librarian.
1948	Harvard College Library for the most generous cooperation and assistance given him in the preparation of this study; and to Herman H. Pussier of the Graduate Library School for advice and direction during the writing of the study.
1948	Grateful acknowledg­ ment is made to Mr. Fussier and Dr. Jesse H. Shera of the Graduate Library School for their reading of the preliminary draft.
1949	For guidance during the early stages of the writing of this study, I am Indebted to Mr. Ralph A. Beals, who was then Librarian of the University of Chicago.
1949	Mr. Jesse H. Shera of the Graduate Library School has guided the completion of the study with patience and understanding.
1949	Mr. Herman E. Fussier, now the Librarian of the Univer­ sity of Chicago, and Mr. Pierce Butler of the Graduate Library School have read the manuscript and have made valuable sugges­ tions.
1949	Miss Winifred Ver Nooy, Reference Librarian at the Uni­ versity of Chicago, has read much of the manuscript, and It has benefitted because of her knowledge of events during the years it covers.
1949	Two other former staff members, Mr. Edward A. Henry and Mr. Karl T. Jacobsen, have been helpful, also.
1949	Miss Mabel Lean, Archivist of the University of Chicago, has generously aided me in the use of the material under her care, and my wife has done all the many things that a wife can do in order to assure the completion of the study.
1950	In the preparation of this thesis, the present writer is particularly indebted to Dr. L. R. Kilzer, Head, Department of Secondary Education, University of Wyoming.
1950	Through his constructive criticism, encouragement, and editorial assis­ tance, this study has been made possible.
1951	ACKNOWLEDGEMENTS The author "wishes t o acknowledge, and to express h i s thanks' for, the help and guidance of his advisors, Dr. Herbert Goldhor and Dr. Rose Phelps.
1951	D r .
1951	Goldhor gave a great amount of time and thought in assisting the author in the selection of a problem, in the framing of the hypothesis, in the methodology of the study, and in many aspects of the writing.
1951	Dr. Phelps gave much helpful criticism of fche subject matter of the dissertation.
1951	The author is also indebted bo Dr. Thelma Eaton, Dr. Robert Downs, Dr. Arthur McAnally, Dr. RobertBierstedt, andDr.C.WalberStone, alloftheUniversityof Illinois faculty/ for their careful reading of the dissertation in a preliminary draft andfor their helpful criticism.
1951	'Themanuscript , was also read critically by Mr. James Skipper, to whom the writer is grateful.
1951	Thanks are due also to Dr. Edith Jones, Dr. Theodore 3estor, Dr. Arthur G. Vestal, Mr.-Ralph McCoy, and Mr. James Ranz, all of the University of Illinois faculty, and to Miss Swift, Miss ptellhorn, and Miss Gordon, a l l of the Washington University Library _ J staff, for their assistance in judging the researph types of the iis,sertations examined.
1951	The author wishes to express his thanks to pr.
1951	Warner Rice, Director of the Univeraity of Michigan Library, and o Dr. Jerrold Orne, Director of Washington University Library, for bermission to do part of the research in those libraries.
1951	Finally, ;he author wishes to acknowledge the great help of his wife, who6Vid nuch of the proofreading and verifying of statistical work in the lissertation.
1952	The writer wishes to express hie appreciation for the cooperation of audio-visual directors in the institutions involved in the study who willingly made information concerning their centers available for analy­ s i s and comparison.
